time_measured,temperature,relative_humidity,ambient_light,barometric_pressure,sound_noise,eTVOC,eCO2,discomfort_index,heat_stroke,vibration_information,si_value,pga,seismic_intensity,temperature_flag,relative_humidity_flag,ambient_light_flag,barometric_pressure_flag,sound_noise_flag,etvoc_flag,eco2_flag,discomfort_index_flag,heat_stroke_flag,si_value_flag,pga_flag,seismic_intensity_flag
1710146875,20.56,41.3,139,994.739,77.42,70,863,65.45,16.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146876,20.55,41.31,146,994.741,79.38,70,863,65.44,16.49,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146877,20.54,41.35,146,994.741,77.52,68,848,65.43,16.49,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146878,20.52,41.4,146,994.742,77.41,70,863,65.41,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146880,20.53,41.4,141,994.74,77.21,70,863,65.42,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146881,20.53,41.39,148,994.739,78.24,68,848,65.42,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146882,20.52,41.39,148,994.736,77.03,68,848,65.41,16.47,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146883,20.56,41.33,148,994.739,77.66,68,848,65.45,16.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146884,20.55,41.37,139,994.739,78.46,70,863,65.44,16.49,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146885,20.55,41.4,146,994.738,77.19,70,863,65.44,16.49,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146886,20.56,41.41,146,994.739,77.66,72,877,65.46,16.5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146887,20.53,41.46,144,994.737,77.15,70,863,65.42,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146888,20.54,41.4,141,994.734,77.19,68,848,65.43,16.49,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146890,20.55,41.37,146,994.733,77.4,68,848,65.44,16.49,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146891,20.54,41.38,144,994.732,77.36,65,832,65.43,16.49,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146892,20.54,41.38,139,994.73,77.68,68,848,65.43,16.49,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146893,20.53,41.38,146,994.73,78.53,65,832,65.42,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146894,20.53,41.41,141,994.729,78.08,68,848,65.42,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1710146895,20.53,41.4,146,994.73,77.58,68,848,65.42,16.48,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
